2020-07-25 00:04:50.333 DEBUG [6952:DefaultQuartzScheduler_Worker-3] k.a.j.s.i.l.scheduler.LoggingCreatorSchedulerJob   [] Remain Document : 0 => Query 0, Error 0, Login 0, Menu 0
2020-07-25 00:05:00.333 DEBUG [6952:DefaultQuartzScheduler_Worker-9] k.a.j.s.i.l.scheduler.LoggingCreatorSchedulerJob   [] Remain Document : 0 => Query 0, Error 0, Login 0, Menu 0
2020-07-25 00:05:10.333 DEBUG [6952:DefaultQuartzScheduler_Worker-2] k.a.j.s.i.l.scheduler.LoggingCreatorSchedulerJob   [] Remain Document : 0 => Query 0, Error 0, Login 0, Menu 0
2020-07-25 00:05:20.332 DEBUG [6952:DefaultQuartzScheduler_Worker-5] k.a.j.s.i.l.scheduler.LoggingCreatorSchedulerJob   [] Remain Document : 0 => Query 0, Error 0, Login 0, Menu 0
2020-07-25 00:05:30.333 DEBUG [6952:DefaultQuartzScheduler_Worker-4] k.a.j.s.i.l.scheduler.LoggingCreatorSchedulerJob   [] Remain Document : 0 => Query 0, Error 0, Login 0, Menu 0
2020-07-25 00:05:40.333 DEBUG [6952:DefaultQuartzScheduler_Worker-6] k.a.j.s.i.l.scheduler.LoggingCreatorSchedulerJob   [] Remain Document : 0 => Query 0, Error 0, Login 0, Menu 0
2020-07-25 00:05:50.332 DEBUG [6952:DefaultQuartzScheduler_Worker-7] k.a.j.s.i.l.scheduler.LoggingCreatorSchedulerJob   [] Remain Document : 0 => Query 0, Error 0, Login 0, Menu 0
2020-07-25 00:06:00.332 DEBUG [6952:DefaultQuartzScheduler_Worker-8] k.a.j.s.i.l.scheduler.LoggingCreatorSchedulerJob   [] Remain Document : 0 => Query 0, Error 0, Login 0, Menu 0
2020-07-25 00:06:10.333 DEBUG [6952:DefaultQuartzScheduler_Worker-1] k.a.j.s.i.l.scheduler.LoggingCreatorSchedulerJob   [] Remain Document : 0 => Query 0, Error 0, Login 0, Menu 0
2020-07-25 00:06:20.332 DEBUG [6952:DefaultQuartzScheduler_Worker-10] k.a.j.s.i.l.scheduler.LoggingCreatorSchedulerJob   [] Remain Document : 0 => Query 0, Error 0, Login 0, Menu 0
